Boroughs,Bus Route,Classification,Confidence,Create_Date,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Date_of_Incident,DateFK,Day,Description,Easting,Hour,HourGroup,Year,Quarter,Month,Day,IRIS,Location / Road Name,Modified_Date,Month,MonthNum,Northing,ReportingLag,Time,Time_of_Incident,URN,Victims Job,Weekday,Year
,,Assault,3,1667372416,2022,Qtr 4,November,2,2022,Qtr 4,November,2,2459882,20221029,29,"Saturday 29 October 2022, I took my three little children to their dental appointments at the local Deptford Dental Practice scheduled for 09.00 and 09.15 and we waited for a bus at our local stop (Deptford Fire Station). When bus 47 arrived at about 08.",539179,8,6am-10am,2022,Qtr 4,October,29,IRIS,Deptford fire station,1667387182,October,10,179823,4,1899-12-30 08:47:00,31620,1082828,Others,Saturday,2022
,,Assault,3,1669273218,2022,Qtr 4,November,24,2022,Qtr 4,November,24,2459907,20221123,23,"I was with my colleague Akua 1214. We was at Liverpool street doing PES. We came across a vehicle HV21 UJM it was parked on the pavement, I had taken 1 photo of the front of the vehicle and then driver came and asked why was I taking a photo of his vehicl",539179,23,10pm-2am,2022,Qtr 4,November,23,IRIS,Bishopsgate ec1,1669273218,November,11,179823,1,1899-12-30 23:14:00,83640,1090035,Others,Wednesday,2022
,,Assault,3,1676982504,2023,Qtr 1,February,21,2023,Qtr 1,February,22,2459996,20230220,20,"The driver was boarding a passenger, who has learning difficulties, when they asked the driver for a kiss. While the driver was securing their seat belt, the passenger grabbed and pulled their clothing. They continually asked for kisses throughout the journey while other passenger were on the bus. The driver did warn them to stop and explained their behaviour was not acceptable.",1,15,2pm-6pm,2023,Qtr 1,February,20,IRIS,,1677075338,February,2,1,1,1899-12-30 15:30:00,55800,1115421,Bus Driver,Monday,2023
,,Assault,3,1679896827,2023,Qtr 1,March,27,2023,Qtr 1,March,27,2460028,20230324,24,"I was walking to a loading bay on Raymead Road when a man next to a phone box said ""Hey shorty"" and grabbed my badge. I stepped back and said ""do not touch me"" to which he responded ""how dare you back up I'm going to talk to you"".  At this point I was frightened and turned to walk off, he followed me on to the main road. He was drunk and very aggressive. He was saying things like ""you need to talk to me"" ""how dare you back up"". I continued to walk and he went back the other way. I didn't call the police as I just wanted to get away from there. My BWC failed to activate.",515405,10,10am-2pm,2023,Qtr 1,March,24,IRIS,Raymead Road,1679900466,March,3,156163,3,1899-12-30 10:45:00,38700,1126437,Other TfL Operational Staff,Friday,2023
,,Assault,3,1683525621,2023,Qtr 2,May,8,2023,Qtr 2,May,9,2460069,20230504,4,A passenger was approached by Operations officer 3462 and asked that he present his ticket or pass for his journey. He stated that he used a CPC but refused to show the card. He then told the officer to speak to the bus driver. The officer explained the need to present his payment method and he aggressively began to verbally abuse the officer. Assessing the change in the passengers demeanour the officer went to the lower deck to hold the bus and request police assistance. The passenger then followed the officer downstairs and continued to aggressively threaten and abuse the officer along with driver. Fearing that the situation would escalate into physical violence the officer alighted the bus and allowed the service to continue.,0,11,10am-2pm,2023,Qtr 2,May,4,IRIS,Parlock Avenue,1683612939,May,5,0,4,1899-12-30 11:30:00,41400,1137627,Other TfL Operational Staff,Thursday,2023
,,Assault,3,1687876417,2023,Qtr 2,June,27,2023,Qtr 2,June,28,2460123,20230627,27,This incident has been created for test purposes. Please do not proceed. If this incident is still showing after 03/07/2023 please remove from system.,1,0,10pm-2am,2023,Qtr 2,June,27,IRIS,,1687958494,June,6,1,0,1899-12-30 00:00:00,0,1155296,Passengers,Tuesday,2023
,19,Assault,3,1668089134,2022,Qtr 4,November,10,2022,Qtr 4,November,10,2459893,20221109,9,"I was at Highbury Barn, all the passengers got off the bus due to the bus being curtailed.
I noticed a passenger on the upper deck with his headphones on. I had to get out of my cab to go and alert the passenger that the bus had terminated.
The passenger said that i should go to Finsbury Park as he had paid his fare.
I explained to the passenger that i had been instructed by the controller to terminate the bus here, i then proceeded back to the drivers cab.
as i got into the drivers cab i tried to close the cab door, but the passenger had followed me and stopped the door from closing.  He then proceeded to lunge forward and punch me but he missed, he then spat at me and the spit landed on my left upper arm. The passenger then got off the bus.",531951,0,10pm-2am,2022,Qtr 4,November,9,IRIS,Highbury Park,1668089134,November,11,185598,1,1899-12-30 00:00:00,0,1085984,Bus Driver,Wednesday,2022
BARKING & DAGENHAM,,Assault,3,1674967294,2023,Qtr 1,January,29,2023,Qtr 1,February,3,2459973,20230128,28,"Driver Channa returned to garage from Route 167 with a sleeper onboard he stated he had tried several time to rouse the passenger but he would not respond but felt he was just being ignored.
I boarded the vehicle with my torch and tried to rouse the male he immediately became aggressive telling me to F**k o** and he was going to smash my face in!
I tried to entice him off but he was not interested and again got verbally aggressive,
I left the vehicle but had second thoughts as I could NOT leave the vehicle in the gate and the male was NOT alighting. A shunter then followed me as I re-entered the     vehicle the man followed me while I got into the cab and started hitting the assault screen violently. He then turned to the shunter and spat at him. I reversed the vehicle out of the gate and pulled the bus along side the kerb outside all the time he was punching the assault screen. I switched off the bus and departed leaving the doors open but was worried that if he tried to alight himself he would be alighting into the road and I did not want to reboard to turn the vehicle around so I called 999 cad ref (8531/28jan23) the police arrived 15 mins later but they were also assaulted and spat at as they removed the male from the vehicle and will be requesting CCTV",545277,23,10pm-2am,2023,Qtr 1,January,28,IRIS,Longbridge Road,1675446030,January,1,185107,1,1899-12-30 23:50:00,85800,1108924,Other Contractor Staff,Saturday,2023
BARKING & DAGENHAM,100,Assault,3,1694617362,2023,Qtr 3,September,13,2023,Qtr 3,September,13,2460200,20230912,12,"I was driving down Glamis Road towards Shadwell. A car came from Cable Street at a high speed and turned round into Glamis Road and stopped right in front of the bus. He stop his car in front of the bus blocking my way he immediately show me 2 middle finger. He exited his car and came towards the bus showing aggressive behaviour. When I saw him exit his vehicle I immediately closed my window out of fear of being assaulted through the window. He came out shouting and said 'come out come out of the bus'. I ignored him and remained in the cab at all times. Then he came to me by the window side demand I opening the window, I did not open window. Then when I did not open window he demanding I come out so he could assault me. When I did not open window he start beating on my window next to me in the cab, which I close earlier, and he was shouting aggressively.  Then he proceeded to come to the windscreen and then started punching the windscreen very hard. Then he went to open the front door by pressing the red emergency button, this did not open the door for him. He then start kicking the door very forceful and then finally the door gave way and opened and he entered the bus. After he enter the bus he start verbally abusing me shouting all sort of profanity at me. He had a bottle of some sort of liquid and started spraying it on me. The cab door glass/screen protection did not stop the liquid coming into the cab - the liquid come through the holes in the screen protection. Then I was made wet and in severe shock at what I just had experienced. I proceed to press code red and then he fled. He ran to his car did a U-turn and drove away. I wrote the assailant's registration details on back of my log card. The police did not attend and after some time they give me a crime reference number (8975).",535380,21,6pm-10pm,2023,Qtr 3,September,12,IRIS,Glamis Road - Cable street junctiontowardsSHADWELL,1694617362,September,9,180783,1,1899-12-30 21:04:00,75840,1186606,Bus Driver,Tuesday,2023
BARKING & DAGENHAM,104,Assault,3,1666860244,2022,Qtr 4,October,27,2022,Qtr 4,November,4,2459878,20221025,25,The driver of a silver Lexus (reg X10 9333) pulled up in front of my bus on Lonsdale avenue . He got out his car and approached the cab window . He was punching the window and saying he wants to stab me in my back . He was very aggressive he kept punching the window and threatened me that when he finds me he will put a knife though my back.,541791,6,6am-10am,2022,Qtr 4,October,25,IRIS,Lonsdale Avenue,1667576179,October,10,182463,2,1899-12-30 06:10:00,22200,1081686,Bus Driver,Tuesday,2022
