"Data Ref Num","EIRF","DUP","Date","Year","Month","Weekday","Time","Hour","Location","Area within Station","Area within Station (2)","Description","Incident Classification","Harm Score","Victim's Job","Number of victims","Trigger 1","Trigger 2","SPIT","HATE","INTOX","RS/Beg","WEAP","YOUTH","REC","NOTES","PERIOD","Week","Reminder Flag","DESCRIPTION_IMMEDIATE_ACTIONS","HSE_INCIDENT_REFERENCE_NO","CRIME_REFERENCE_NO","DIM_INC_LOGGED_DATE_IEX_DWK"
"","X","","2020-04-05",2020,"APR","SUN","10:00","10","","Passenger Train (in car)","","A PSA identified a passenger drinking from a bottle of cider on the train and asked her to take it off the train.  The passenger said she would but made no move to leave the train.  Another passenger also asked her to take it off the train, which caused the passenger to become irate, leading her to start shouting abuse at the PSA including threats to hit the PSA. The PSA was able to record  the incident on their BW camera before the passenger left the station.","Verbal","","","","","","","","","","","","","",1,"","","N/A","197208","",20231018
"","X","","2020-05-02",2020,"MAY","SAT","10:00","10","","None","","A PSA was verbally abused by a passenger who refused to move from the barriered off area of the train.  The passenger continued with their abuse to the PSA and attempted to film the PSA, demanding they remove their mask so they could get a better view of them.","Verbal","","","","","","","","","","","","","",1,"","","N/A","197224","",20231018
"","X","","2020-05-03",2020,"MAY","SUN","10:00","10","","None","","Two passengers approached the boarded off part of the train where the PSA was sat.  One threw themselves against the board, the other coughed on the board saying “I hope you get Corona”.  They also appeared to attempt to put their dog over the board, the PSA feared to get it to bite him.  The couple left the train at KGV.","Verbal","","","","","","","","","","","","","",2,"","","N/A","197225","",20231018
"","X","","2020-05-04",2020,"MAY","MON","10:00","10","","None","","PSA saw a passenger with a bicycle waiting to board the train as they came in to WOA.  The passenger appeared to see the PSA and ran to the other end of the train and boarded with the bicycle.  The PSA went to the front of the train and found this passenger with their bicycle in the sealed off area at the lead set of doors.  The PSA explained that they could not be in that area due to the social distancing requirements, and also that bicycles could not be taken on the train at WOA at that time as it was during the peak.  The passenger pretended they could not hear them (headphones on), didn’t know about the bicycle rules etc. The PSA asked them to leave the train again, the passenger refused so the PSA requested assistance.  Station staff and BTP attended, removing the passenger from the station.","Other","","","","","","","","","","","","","",2,"","","N/A","197227","",20231018
"","X","","2020-05-25",2020,"MAY","MON","10:00","10","","None","","A man approached a member of staff and went mad and hit them over the head with their walking stick. The member of staff sustained unspecified injury to their head.","Physical","","","","","","","","","","","","","",2,"","","Assault - Exposure to physical violence","195901","",20231003
"","X","","2020-05-28",2020,"MAY","THU","10:00","10","","None","","""A Passenger demanded from a PSA the departure time of the train at Stratford, the PSA could not see the board from the position on the train, so asked them to look there.  The passenger walked through the train loudly complaining about the PSA not knowing his job and racially abusing them, saying he should return to his own country.  
The train departed but the passenger continue her tirade, the PSA was too nervous about calling the CC whilst she might still hear the call.  He contacted the CC at Pudding Mill Lane requesting assistance and to be relieved from the train.  The passenger continued with her aggressive behaviour until Devons Road, shouting at passengers and the PSA, stamping her feet, hitting seats and making agressive noises.  The PSA was relieved from their duty at Poplar.""","Other","","","","","","","","","","","","","",2,"","","N/A","197283","",20231019
"","X","","2020-06-25",2020,"JUN","THU","10:00","10","","None","","A PSA was assisting with giving out drinks to train staff at Shadwell during the hot weather, they were also asking passengers to wear face coverings if they saw anyone not doing so.  One passenger objected to this and immediately became aggressive to the PSA.  Another member of staff discretely alerted the PSA to the fact that the passenger had threatened him with a knife some time ago.  The passenger verbally abused the PSA and pushed him, knocking off his body worn camera, but then left the area.  They returned to knock on the window and verbally abuse the PSA before the train departed.","Physical","","","","","","","","","","","","","",3,"","","N/A","197313","",20231019
"","X","","2020-07-16",2020,"JUL","THU","10:00","10","","None","","CSO was verbally abused by a passenger using the wide aisle gate to get through the station to access the SET platforms in line with the one-way system in place at the station.  The CSO suggested that they tapped in with their Oyster card as there had been a number of people coming back saying that they had problems getting through at the SET side.  This is an issue that has been identified since the implementation of the one-way system as normally passengers would interchange without having to pass through a gateline.","Verbal","","","","","","","","","","","","","",4,"","","N/A","197329","",20231019
"","X","","2020-07-25",2020,"JUL","SAT","10:00","10","","Escalator (on escalator)","","A passenger was seen to be walking up an escalator at WOA by a PSA who then reminded them that escalators were supposed to be used in single file in line with the COVID-19 arrangements for social distancing.  The passenger immediately became abusive and used threatening language towards the PSA.","Verbal","","","","","","","","","","","","","",4,"","","N/A","197330","",20231019
"","X","","2020-07-30",2020,"JUL","THU","10:00","10","","Platform","","A member of Carlisle staff was verbally assaulted then physically attacked on the platform for calling the police on a male and female customer. The two individuals punched the member of staff and pushed them towards the track. Staff aggravated a knee injury previously sustained and also suffered an injury to their fingers.","Physical","","","","","","","","","","","","","",5,"","","N/A","196077","",20231005
