Directorate,Operations,URN,MPS,IRIS,DIR,BTP,EIRF,WAASB,ASIF,SHE,MTR,LORRL,Date Entered,Incident Date,Year,Month,Weekday,Time,Hour,HourGroup,FinancialPeriodInYear,Period,Week,Qtr,Station,Bus Route,Location / Road Name,Area Within Station,Area Within Station (2),HOCO,Line Management,Area Management,Cover Group,Bus Route Journey,Bus Garage,Bus Operator,Boroughs,Ward,Easting,Northing,Description,Classification,Harm Score,Trigger 1,Trigger 2,Trigger 3,Spit,"Hate (D,F,H,R)",Intox,"RS / Beg (B,R)",Youth,Rep Off,"Ped Con (B,E,R,S)",Off Bus,Through Window,Weapon (seen/used),Liquid,Number of Vics,Victim 1 Gender,Victim 1 Job Role,Victim 2 Gender,Victim 2 Job Role,Victim 3 Gender,Victim 3 Job Role,Victim 4 Gender,Victim 4 Job Role,Victim 5 Gender,Victim 5 Job Role,Suspect Number (Aprox),Suspect Gender,CheckForSubject,CheckForAction,Confidence,Date_Created,ReportingLag
,,1211232,,IRIS,,,,,,,,,27/11/2023,22/11/2023,2023,NOVEMBER,WEDNESDAY,17:12,17,2pm-6pm,9,,,,,,Stop E,,,,,,,,,,Barnet,,519564,191860,"The driver of route 221 Assault Alarm was going of at Stop E, I when over to assist the driver and discovered that there was a fight on the bus involving teenagers, there was a group of them on the bus. The fight was with two IC3 boys, I told them to break it up, but it was very difficult as the fight was very heated. I told the driver of the 221 to inform his Ibus of the situation and to do code red informing NMCC that I’ve already called for police and ambulance. There was a group of around five older teens that was trying to break up the fight after the fight was eventually broken up and I got the main aggressor of the bus and secured the bus with the teenager that had been attacked. the older teens told me that the boy that had been attacked is in a lower year to them. I ask them if they knew the two boys that was fighting, and they said no but there all from the same school London Academy.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 07:00,2
,,1211740,,IRIS,,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,16:25,16,2pm-6pm,9,,,,,422,Vanbrugh Hill,,,,,,,,,,Lewisham,,539553,177916,"passenger issue

He came on the bus feeling agitated.  He showed me Safer’s ticket and tore it. He asked if I wanted a piece of it. I told him to stick it to the doorframe because my instinct told me not to open the cab door. 

That was when he kicked off. He already got his phone out recording everything from the beginning. 

He called me cunt while recording. He said some drivers refused to let him on the bus with his children in the past weeks/months because he refused to give part of the safest ticket. He was aggressive in his talking and angry. 

I told him he couldn't travel because he had called me cunt. He keeps doing the video and calling me all sorts of names. He said the video would go Viral, he would take it to the mayor of London, etc. He said many things. He refused to get off the bus.

He later called his wife who came with a PITBULL  “ DOG” I don't know what they are trying to do. I called the Code red button/Controller to Update them on the situation. He later came down from the bus and I drove away.

NB .... HE CALLED ME CUNT AND REFUSED TO GET OFF THE BUS WHEN I REFUSED TO WITH HIM ON THE BUS.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 08:16,1
,,1211826,,IRIS,,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,20:30,20,6pm-10pm,9,,,,,302,Chapter Road bus stop,,,,,,,,,,Brent,,522484,185031,Stopped at chapter road The bus was very crowded and over packed. I asked the passengers to move down in side the  bus and one passenger became very aggressive and started to swear at me calling me all kind of names . I called code blue and 5 minutes after waiting on a response the passenger left and I proceeded on my journey,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 04:47,1
,,1211887,,IRIS,,,,,,,,,27/11/2023,19/11/2023,2023,NOVEMBER,SUNDAY,18:35,18,6pm-10pm,9,,,,,85,ALTON ROAD,,,,,,,,,,Wandsworth,,0,0,DRIVER WAS VERBALLY ASSAULTED BY A PASSENGER,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 15:14,5
,,1211894,,IRIS,,,,,,,,,27/11/2023,24/11/2023,2023,NOVEMBER,FRIDAY,19:45,19,6pm-10pm,9,,,,,491,Galliard Road,,,,,,,,,,Enfield,,534481,195152,As I was driving down galliard road a car never gave me way and drove at me aggressively blocking me in. He opened his window and started verbally abusing me. I said he should of giving me way and said he was being aggressive. Eventually I got space to squeeze out he stuck his finger up at me I laughed at him to try and show it didn't bother me. He chased me up the road said I was racist and took my picture with his mobile phone. I wasn't comfortable with this and threatened to call the police. He left immediately and said he was going to complain about me. Not at one point was I racist or abusive towards this is completely not true,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25/11/2023 02:52,1
,,1211926,,IRIS,,,,,,,,,27/11/2023,22/11/2023,2023,NOVEMBER,WEDNESDAY,12:45,12,10am-2pm,9,,,,,274,Caledonian Road N7,,,,,,,,,,Camden,,530594,184768,"Date: 22Nov2023
Route 274 
Vehicle VWH2339 
Run No: 334
Trip No:75

1) At around 12.41hrs I approached the junction Caledonian Rd/Market Rd/ McKenzie Rd.
2) A small truck was in front and  a car fit sure in front of it to turn right into McKenzie Rd awaiting to have clearance from oncoming traffic.
3) The first vehicle took the right  the truck was going as well but stopped despite no oncoming traffic and had the hazards lights on. 

4) Incident of Verbal Abuse

A female pedestrian was standing at the safety pedestrian island awaiting for the red man to turn into green. 
I asked: ""Sorry Ma'm, is anything in front of the truck stopping it to move?""
The pedestrian replied:
""You f****** idiot, all bus drivers are f****** idiots, don't you see it has got the hazards lights on?
With disbelief I said: ""I only asked you a question as I can't see from here, you don't have to swear at me!!!""

She started crossing still moving her lips but couldn't hear what she was saying when passing in front of the windscreen. She mounted the pavement and was taking pictures of the bus from 7.30 o'clock. I was opening the door (which was defective since I took over the bus from ISLN GRs as the latch would give in even with the lock on) to ascertain what was going on with the truck when the pedestrian returned by the front door with the intention of taking a picture of me at which I showed my Badge Number 751999. She told me ""I'm going to report you to TfL"" at which I said: ""I had only asked you a question. You are mad. Write whatever you want!!! . 

5) I had to advise the passengers for I had to ascertain the gravity of the road blockage and to remain seated with a please and I also requested if anyone would be willing to leave a phone number (no address and no name) to witness the total unprovoked behaviour of the pedestrian at which I noticed some were nodding negatively. 
I said: ""thank you for your support"" and I went by the truck nearside.
A female on passenger seat. A male on driver seat  was handling some wires coming from under the steering wheel. 
I said: ""Has it broken down mate?"". The driver told me he was having problem with the immobiliser. 
I returned to the cab and I did Code Red. It was 12.45hrs. NMCC got back to me and as I was dealing with it the truck moved off. I quickly cleared the Code Red and moved on. 

This was the incident itself. 

At the stop York Way Estate I called iBus on landline and told about the door latch problem and what had happened about the Verbal Assault. One SC told me it was not assault. (I today learnt from another SC that it's called Verbal Abuse)

Engineers asked me if I could use the top latch (the door can still be pulled and/or ripped off open from someone strong) and would meet me later on in regard to the faulty latch at which I agreed (the bus behind was 12' so I didn't feel to cause further disruption to the service) 

I ""swallowed"" the unprovoked Verbal Abuse for the ""bigger picture"" and carried on on duty almost reduced to tears due to the incredible lovely people I had the luck to come across with. 

I'm not sure if the lost mileage (I had a ""projection"" LCGT to BKST the following trip - No 2032) is due to this incident as there were severe congestion delays at the 4 ways temporary lights at 
Oxford St/Portman St and as the
SC didn't specify the reason, it usually goes down to Tr (Traffic). 

Please do not hesitate to call me in should the threatened report be made to TfL by the female pedestrian individual. 
 
Please note: 
At Pratt Street bus stop a female passenger asked me if I could let her off despite I had already served the stop at which I consented despite she was one of the unsupportive passengers to witness the cause of this very Occurrence Report which proves I do not carry grudges or revenge regardless. 

Yours Sincerely
Mauro Galassini",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 07:31,2
,,1211931,,IRIS,,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,18:30,18,6pm-10pm,9,,,,,208,HIGH STREET,,,,,,,,,,Bromley,,546346,166317,Fight broke out between 2 female passengers inside the bus - one of the passengers called the police once I stopped the bus safely,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 08:01,1
,,1211959,,IRIS,,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,22:40,22,10pm-2am,9,,,,,104,Albatross Close,,,,,,,,,,Newham,,543007,181964,"An aggressive fare evader got aggressive when challenged. He then resorted to spitting all over my cab screen. He shouted and threatened me for some time he was banging on my door and trying to rip it open. He threatened to rape and kill my family, refused to leave the bus even when I told him the police will attend. He then tore out the ticket machine Covid screen and spat at me through that way. He stopped after the police attended the scene. There were a couple of passengers on board at the time and they left when this guy started acting violently.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 11:14,1
,,1211963,,IRIS,,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,12:48,12,10am-2pm,9,,,,,R1,Carlton Parade,,,,,,,,,,Bromley,,546751,166947,Driver witnessed a member of the public getting punched in the face by motorcyclist,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24/11/2023 11:25,1
,,1212130,,IRIS,,,,,,,,,27/11/2023,26/11/2023,2023,NOVEMBER,SUNDAY,02:25,2,2am-6am,9,,,,,N25,BROADWAY,,,,,,,,,,Newham,,538873,184313,"The Bus was full with not much room to move, a passenger pressed the bell to get off, i opened the back doors to allow the passengers off 1st, however not enough passenger got off to allow me to pick up any new passenger, however one passenger decided to press the outside emergency button let himself on and then approached me and started to threaten me, i didnt care about it but then he kept imtimidating me, glaring at me making comments which i couldnt hear, it made me very uncomfortable and i felt i couldnt drive anymore due to this passengers verbal abuse, i called code red asking for police assistance, i waited for some time, mabe 10mins passed and then he got off",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26/11/2023 08:09,0
