Registration,trip_count_Charging_window,trip_count_Day,trip_count_Night,total_trips,%_night_trips,%_day_trips,percentage_charging_window,,,,,
LM69YFD,0,1,0,1,0,100,0,,,,,
MD19CXC,0,6,1,7,14,86,0,,,,,
LS17XRG,1,87,1,89,1,98,1,,,,,
LR69CYT,0,103,1,104,1,99,0,,,,,
LO66YSX,14,186,1,201,0,93,7,,,,,
WU17EHN,10,284,1,295,0,96,3,,,,,
LR69CZC,0,1024,1,1025,0,100,0,,,,,
LT18UWZ,3,124,2,129,2,96,2,,,,,
LO67XKD,8,133,2,143,1,93,6,,,,,
LX67KCA,0,133,3,136,2,98,0,,,,,
RE68CEJ,5,127,4,136,3,93,4,,,,,
LO66YSL,18,390,4,412,1,95,4,,,,,
LT17WCO,0,509,4,513,1,99,0,,,,,
LK19TGU,12,239,5,256,2,93,5,,,,,
LS67MKG,5,488,5,498,1,98,1,,,,,
MD19XTJ,2,286,6,294,2,97,1,,,,,
LR20OFB,80,238,6,324,2,73,25,,,,,
LO66YSM,23,377,6,406,1,93,6,,,,,
LR69CZF,0,389,7,396,2,98,0,,,,,
LL17TXT,1,660,8,669,1,99,0,,,,,
LS17VEV,0,131,10,141,7,93,0,,,,,
LK68TFN,8,153,10,171,6,89,5,,,,,
LO66YSV,59,244,10,313,3,78,19,,,,,
LN67KGO,0,320,10,330,3,97,0,,,,,
RX17ZTF,9,372,10,391,3,95,2,,,,,
RE67WOD,23,200,11,234,5,85,10,,,,,
LR20NBM,12,259,11,282,4,92,4,,,,,
LR17OWY,1,273,11,285,4,96,0,,,,,
RX17ZTG,13,908,11,932,1,97,1,,,,,
LN68JYG,22,98,12,132,9,74,17,,,,,
LR20OFN,16,286,12,314,4,91,5,,,,,
LR66EYW,7,104,13,124,10,84,6,,,,,
LK66ZNG,13,200,13,226,6,88,6,,,,,
LV67FRD,1,856,15,872,2,98,0,,,,,
KE69TOV,0,320,16,336,5,95,0,,,,,
MX19PXF,20,471,16,507,3,93,4,,,,,
RA19YLH,41,796,16,853,2,93,5,,,,,
LR69AYB,13,184,17,214,8,86,6,,,,,
LM67LMF,0,695,17,712,2,98,0,,,,,
LR20OFT,2,157,18,177,10,89,1,,,,,
LO69AVC,70,1775,18,1863,1,95,4,,,,,
LK67YCB,77,144,19,240,8,60,32,,,,,
LS21EOH,68,367,21,456,5,80,15,,,,,
LR68HWY,84,1121,21,1226,2,91,7,,,,,
LT68ORY,7,204,22,233,9,88,3,,,,,
RE68CEF,49,240,22,311,7,77,16,,,,,
LM19VWO,43,450,23,516,4,87,8,,,,,
LR69CZX,9,103,24,136,18,76,7,,,,,
LK17YVN,13,99,24,136,18,73,10,,,,,
LR17OWK,5,485,25,515,5,94,1,,,,,
RX17YTT,69,236,27,332,8,71,21,,,,,
LR69AYE,50,340,28,418,7,81,12,,,,,
LS21DND,21,871,28,920,3,95,2,,,,,
LX18ZSF,20,88,29,137,21,64,15,,,,,
LL21KPR,33,111,31,175,18,63,19,,,,,
LL20MFO,26,56,32,114,28,49,23,,,,,
LV66UEJ,7,458,33,498,7,92,1,,,,,
LS17HRE,26,29,34,89,38,33,29,,,,,
WU17JSV,102,414,35,551,6,75,19,,,,,
LL17TYZ,8,837,35,880,4,95,1,,,,,
