Data Ref Num,EIRF,DUP,Date,YEAR,MONTH,WEEKDAY,Time,HOUR,LOCATION,Area within Station,Area within Station (2),DESCRIPTION,Incident Classification,Harm Score,Victim's Job,Number of victims,Trigger 1,Trigger 2,SPIT,HATE,INTOX,RS/Beg,WEAP,YOUTH,REC,NOTES,PERIOD,WEEK,Reminder Flag,DESCRIPTION_IMMEDIATE_ACTIONS,HSE_INCIDENT_REFERENCE_NO,CRIME_REFERENCE_NO,DIM_INC_LOGGED_DATE_IEX_DWK,Summary
UK_IRF001293541,X,,05/09/2023,2023,SEP,TUE,00:09,0,Sudbury Hill,Booking Hall,,"At c0009 hrs, Asian male approx. 40 yrs old, white t-shirt, grey track bottoms, comes to wag shouting the words 'open now open now!'
CSS exited office to assist, male started shouting the same words back, aggressively. CSS went back to place of safety into office. Male continues to shout same words. Male seemed intoxicated. CSS then rolled blinds to window down in the hopes male will exit gates and leave station. As CSS opened wag to let male out, male then tapped his bank card on gate 42 to exit. He then made his way slowly to window of CSS office and started banging the window and door aggressively continuing to shout ""open open"". After several attempts he exited the station.
Similar incident documented on 16.08.23 at 16.15 hrs on SHL logbook matching same description of male.

0024 hrs, WAASB submitted (ref WAASB003061357).

0045 hrs, established contact with BTP (ref 40050923).

0100 hrs, x03 BTP officers attended to CSS at SHL and noted details of incident. While CSS narrated details, one officer asked if male was of Sri Lankan origin and mentioned a name to his colleague after CSS confirmed male was Sri Lankan origin.

0115 hrs, BTP officers checked on CSS whether they are fine and are ok to continue their shift and then left station.",Verbal,,CSA1,,,,,,,,,,,,6,,,Intoxication or mental health related issues.,UK_IRF001293541,,20230905,"CSS exited office to assist, male started shouting the same words back, aggressively. CSS then rolled blinds to window down in the hopes male will exit gates and leave station. 0100 hrs, x03 BTP officers attended to CSS at SHL and noted details of incident."
UK_IRF001296185,X,,16/09/2023,2023,SEP,SAT,00:25,0,Turnpike Lane,Gate line,,"Male, Black with short shaved black hair, approx. 40 years of age. Wearing a white printed t-shirt, dark trousers and a brown bag, forced himself through they WAG into the paid side and went down to the platform. 
Approximately 5 minutes later CSA HH59 was approached at the paid side of the GLAP b y a customer and male in question. The customer and male asked CSA where the next westbound service as there was no service showing on dot matrix. 
CSA stated to male that he did not pay for any service and they would not be providing any information unless he paid for his ticket. Male moved away whilst CSA provided customer with the next train information. 
The male then started to get angry at being ignored and started act aggressively and started to shout ' Are you fucking stupid'. CSA HH59 activated the bodyworn camera and tried to ignore the shouting. The male kept shouting abuse such as 'Fuck you' & 'Fuck your mother'. He proceeded to WAG to force through to exit after CSA radioed CSM for BTP support. The male also used his finger to swear at CSA on exit.",Verbal,,CSA1,,,,,,,,,,,,6,,,Black male who forced his way in to the paid side via the WAG started aggressively shouting and gesturing at CSA when he returned to ask why there were limited westbound service.,UK_IRF001296185,,20230916,CSA stated to male that he did not pay for any service and they would not be providing any information unless he paid for his ticket. Male moved away whilst CSA provided customer with the next train information. The male also used his finger to swear at CSA on exit.
UK_IRF001293775,X,,06/09/2023,2023,SEP,WED,00:25,0,White City,Booking Hall,,"At 00:25 I was booking on 2 x contractors from Lanes and had my back to the window of the office. I saw one of the contractors wave his arms saying its closed. The aggressive  man dressed all in black, black shirt and black trousers was talking but the microphone was switched off. I turned on the microphone, and said can I help you. He started really shouting saying I want a PISS, where can I have a PISS. I didn't even have time to answer, he proceeded to shout at me, saying I will just PISS up the door. So I said I am not talking to you, if you are going to be aggressive and turned  off the microphone and turned my back. The contractors then said he is going to wee up the door. So I turned back around again as the contractors went outside and said, mate go outside and go to the toilet. The man then started being aggressive to them telling them to move out the way, he is not talking to them, he wants to talk to me, but he wasn't talking to me he was screaming at me. He proceeded to say he will remember my face. The cleaner then came over to try to calm him down but he started screaming at all 3 of them, saying he he is not interested in talking to them, and to get out of his way. The man then goes downstairs and pressed the PHP, I just said can I help you even though I could see him on camera , he said where can I go  for a PISS  I went to answer him but he shouted me down again saying I will PISS all over your face. I just put the PHP down. He then proceeded to press another PHP and i said can hi help you again even though I could still see him on the camera. He then shouted once a whore always a whore.Then got on T116 to West Ruislip",Threat,,CSS2,,,,,,,,,,,,6,,,"Reason he was so vile, was the  toilets were locked, because the toilets are blocked",UK_IRF001293775,,20230906,"I saw one of the contractors wave his arms saying its closed. So I said I am not talking to you, if you are going to be aggressive and turned  off the microphone and turned my back. He then proceeded to press another PHP and i said can hi help you again even though I could still see him on the camera."
UK_IRF001302441,X,,05/10/2023,2023,OCT,THU,00:30,0,Hammersmith,Passenger Train (in car),,Report of non responsive male on T212. Asked to assist in removing male from Train.,Physical,,CSS2,,,,,,,,,,,,7,,,"Male visibly unresponsive in 1st Car. Both Driver & station supervisor attempted wake male - no response. 
Finally spoke to the man and he went crazy and attacked CSS, he kicked CSS twice, punched  around the head and grabbed by the hair. the train op tried to get him away from CSS and PHYSICALLY got him off the CSS and prevented the assault further. CSS made  way back to station office as quick as she could and contacted Ladbroke Grove. 
LIS called me on the radio and they called BTP, he was arrested and btp took him into custody. 
Service Manager contacted DRM. 
BTP REF: 19 - 06.10.23
DRM on site @ 0120 
CSS S Ahmed on site from Royal Oak @ 0115. 
SPECIAL TAXI ARRANGED BY DRM TO TAKE ME HOME.",UK_IRF001302441,19 - 06.10.23,20231008,Report of non responsive male on T212. Asked to assist in removing male from Train.
UK_IRF001300581,X,,30/09/2023,2023,SEP,SAT,00:38,0,Tottenham Hale,Booking Hall,,"At Approx 00:38 - A drunk white male approached S6 in the GLAP to report that their Oyster was not working. S6 went to go to the gate line with male when he became abusive and started swearing, S6 requested that he will not continue to swear. Male was now preventing her from leaving GLAP. S6 switched on BWC. Male then became racially abusive referring to S6 being 'fucking black'.
S6 then contacted SOR.
Male then pushed through WAG22 and exited station.
BWC footage requested.
S26 did not want to report to the BTP.",Verbal,,CSA1,,,,,,,,,,,,7,,,Drunk male becomes racially abusive when having problems with Oyster card.,UK_IRF001300581,,20230930,At Approx 00:38 - A drunk white male approached S6 in the GLAP to report that their Oyster was not working. Male was now preventing her from leaving GLAP. Male then became racially abusive referring to S6 being 'fucking black'.
,X,,14/09/2023,2023,SEP,THU,00:40,0,,Public Road,,"whilst parked outside the station awaiting engineering hours to start a group of drunk people with
Irish accents walked past, one of them circled back to the van behind ours and tried to access it.
the occupiers ushered him away and that when he approached our van. my colleague and I were at
the back of the van about to fetch tools from inside when the drunk man tried to poke his head into
the van, I asked him what he was doing and he slurred a reply. he then threatened to spray me if I
didn't get out his way and let him in the van, i noticed a can in his hand ad it said Nivia on the side
so assumed it was a deodorant and ignored him and went to get my tools out. that's when I heard a
spaying sound and my shoulder became wet and smelly. when I turned to confront him he had ran
off. around ten minutes later I started to suffer with severe migraines and was advised to report the
attack to the authorities.",Other,,TL_SE22,,,,,,,,,,,,6,,,"Reported incident to station supervisor. 
Called 101 so I took some nurofen and completed shift before returning to depot to report it online .",194300,TAA-58287-23-0193-00,20230914,"the occupiers ushered him away and that when he approached our van. he then threatened to spray me if I didn't get out his way and let him in the van, i noticed a can in his hand ad it said Nivia on the side so assumed it was a deodorant and ignored him and went to get my tools out. when I turned to confront him he had ran off."
UK_IRF001302969,X,,10/10/2023,2023,OCT,TUE,00:42,0,Notting Hill Gate,Booking Hall,,about  0042 male customer came to the gate line wanting to go to Hammersmith . CSA told him the train that would take him  had gone. He then said he lost his phone but didn't say  where he lost it . He was asked to report to the police. CSM came out exchanged few words with this customer trying to help him  all of a sudden he barged through the  gate and started attacking the CSM he kicked him and was throwing punches  at CSM . CSM  fell to the floor and the male took the CSM's glasses of the floor and threw it at him   and as he lay on the floor the male spat on CSM  face. The police was called about  00.47. LUCC called at 00.50 requesting an ambulance.  CSA came back in the station as she had missed her staff taxi and reported the assailant  attempted to throw a bin at her on her way out. He came back around 00.54 requesting the  name of the  CSM and was shouting racist remarks . He wants the name of the Chinese ' c '. He said his name was Sima  Kabius he works for Fulham council. Then the police arrived at about 00.59 and he was arrested . Camera 14  viewed . The assault took place at 00.44:27 and lasted about a minute. crime ref 16/9/10/2023. Ambulance ref 2 .CSM left with NIRM for St.Mary's hospital with staff taxi .at 03.18,Physical,,CSM1,,,,,,,,,,,,7,,,Male customer wanted to go to Hammersmith  CSA  informed the last train for his intended  journey had gone. and he said he  had lost his phone.as well,UK_IRF001302969,,20231010,CSM came out exchanged few words with this customer trying to help him  all of a sudden he barged through the  gate and started attacking the CSM he kicked him and was throwing punches  at CSM . Then the police arrived at about 00.59 and he was arrested . The assault took place at 00.44:27 and lasted about a minute.
UK_IRF001297587,X,,20/09/2023,2023,SEP,WED,00:46,0,Manor House,Booking Hall,,"At about  Customer Service Manager GN03 whilst carrying out station checks and closing station Bostwick gates in preparation for the arrival of the last Eastbound train. As CSM GN03 pulled across the Bostwick gate situated by the computer room and inspected Switch Room (E5), a black male passenger was attempting to force his way through WAG22 on the paid side.  

The black male spots CSM GN03 then asks to let him 'in'. CSM GN03 enquired from the customer what he meant by letting him in? The male customer responded that, at the start of his journey he did not touch in. CSM GN03 asked which station he started from, and he replied Kings Cross he added that he did not want to be overcharged if he touched out.  

CSM GN03 advised him to touch out and that she will resolve the journey. He replied with a short and aggressive no! CSM GN03 sensed that the male would become more aggressive, so she proceeded to the Sprinkler Valve Chamber to continue with her station checks and to remove herself from the situation. The black male passenger was not happy with that, stating that he had been disrespected by CSM GN53 by her moving away. After coming out of the Sprinkler Valve Chamber, the male had remained in the same position and immediately started shouting at CSM GN03 becoming even more threatening and confrontational, walking directly up into her face. Black male passenger also stated to CSM GN03 that the next time she disrespected him, he would deal with her later. He further mentioned that black women do not have respect. CSM GN03 activates Body Worn Camera 240432 and remained silent in response to the black male passengers rage and was really afraid for her safety.

Customer Service Assistant GN55 witnessed the whole incident, and five escalator engineers heard the shouting and came out to investigate and to offer any assistance or support. 

 

BTP Ref. No. 33 of 22/09/2023",Threat,,CSM2,,,,,,,,,,,,7,,,"Aggressive male customer approaches CSM GN03 whist seeking to be let out of gate line without validating his Oyster card. 
The male customer was black male, about 30 year, about 5ft, wearing black top and bottom, had ear phones, a hand bag and a large umbrella.",UK_IRF001297587,,20230922,"CSM GN03 enquired from the customer what he meant by letting him in? CSM GN03 advised him to touch out and that she will resolve the journey. Black male passenger also stated to CSM GN03 that the next time she disrespected him, he would deal with her later."
UK_IRF001294254,X,,08/09/2023,2023,SEP,FRI,01:00,1,Archway,Booking Hall,,"01:00hrs CSM was on the unpaid side of the gateline directing customers from the last train out of Junction Rd exit. A young lady was entering the station with black male walking closely beside her. Female did not look comfortable so I approached keeping at least an arms length away. She made eye contact with me and gestured to the male to go away. The male then stood in front of female blocking her path and put his arms out to the sides. Female side stepped and stood behind me. I asked the male to leave as there were no trains anyway and said that he needed to take his lit cigarette out of the station. The male grabbed his crotch and said 'down boy' directing his comment to the female. The male went to Junction road exit he disapeared and then reappeared, stood at the entrance and shouted to CSM 'big TfL man come outside and I will Fuck you up' I picked up my radio and dialled 999, to which he responded 'call the police then' 
 BTP arrived at 01:20hrs call sign N1N and said they had found him and arrested the male.",Threat,,CSM2,,,,,,,,,,,,6,,,Male was crude and sexually harassing and assaulting female customer.,UK_IRF001294254,28,20230908,A young lady was entering the station with black male walking closely beside her. Female did not look comfortable so I approached keeping at least an arms length away. I asked the male to leave as there were no trains anyway and said that he needed to take his lit cigarette out of the station.
UK_IRF001302452,X,,08/10/2023,2023,OCT,SUN,02:00,2,Dollis Hill,Booking Hall,,"01:58 - 02:00 - 4x police officers visited station for only two minutes - station is quiet at the time but as they departed through the chapter road subway a train came in - multiple fare-evaders at gate-line wanting to get out as they would normal forced through the WAG but as the CUBIC Engineer is currently working on WAG21 which has been broken by these fare-evaders every single day they're just standing there.

Engineer is then seen having to let several fare-evaders out while one white-male fare-evader bump through behind a female fare-paying customer at gate #40 almost pushing her over then telling her sorry after she turn around to confront him.",Verbal,,,,,,,,,,,,,,7,,,REGULAR CONSTANT REPETITIVE FARE-EVADERS,UK_IRF001302452,,20231008,01:58 - 02:00 - 4x police officers visited station for only two minutes - station is quiet at the time but as they departed through the chapter road subway a train came in - multiple fare-evaders at gate-line wanting to get out as they would normal forced through the WAG but as the CUBIC Engineer is currently working on WAG21 which has been broken by these fare-evaders every single day they're just standing there. Engineer is then seen having to let several fare-evaders out while one white-male fare-evader bump through behind a female fare-paying customer at gate #40 almost pushing her over then telling her sorry after she turn around to confront him.
