File1_Index,File2_Index,File1_Description,File2_Description,Similarity_Score
0,10,"c0009 hrs , asian approx . 40 yrs old , white t-shirt , grey track bottoms , comes wag shouting words 'open open ! ' css exited office assist , started shouting words back , aggressively . css went back place safety office . continues shout words . seemed intoxicated . css rolled blinds window hopes exit gates leave station . css opened wag let , tapped bank card gate 42 exit . made way slowly window css office started banging window door aggressively continuing shout `` open open '' . several attempts exited station . similar incident documented 16.08.23 16.15 hrs shl logbook matching description . 0024 hrs , waasb submitted ( ref waasb003061357 ) . 0045 hrs , established contact btp ( ref 40050923 ) . 0100 hrs , x03 btp officers attended css shl noted details incident . css narrated details , one officer asked sri lankan origin mentioned name colleague css confirmed sri lankan origin . 0115 hrs , btp officers checked css whether fine ok continue shift left station .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8123261
0,14,"c0009 hrs , asian approx . 40 yrs old , white t-shirt , grey track bottoms , comes wag shouting words 'open open ! ' css exited office assist , started shouting words back , aggressively . css went back place safety office . continues shout words . seemed intoxicated . css rolled blinds window hopes exit gates leave station . css opened wag let , tapped bank card gate 42 exit . made way slowly window css office started banging window door aggressively continuing shout `` open open '' . several attempts exited station . similar incident documented 16.08.23 16.15 hrs shl logbook matching description . 0024 hrs , waasb submitted ( ref waasb003061357 ) . 0045 hrs , established contact btp ( ref 40050923 ) . 0100 hrs , x03 btp officers attended css shl noted details incident . css narrated details , one officer asked sri lankan origin mentioned name colleague css confirmed sri lankan origin . 0115 hrs , btp officers checked css whether fine ok continue shift left station .","wag22 forced open entry . usually travels , often seen sainsburys bags ( orange carrier bags ) . advised css subject btp reference 579/011023 staff assault nhg , also subject waasb003118276 waasb3118296 . regularly forced wag open allow companion entry exit .",0.80062443
1,10,", black short shaved black hair , approx . 40 years age . wearing white printed t-shirt , dark trousers brown bag , forced wag paid side went platform . approximately 5 minutes later csa hh59 approached paid side glap b customer question . customer asked csa next westbound service service showing dot matrix . csa stated pay service would providing information unless paid ticket . moved away whilst csa provided customer next train information . started get angry ignored started act aggressively started shout ' fucking stupid ' . csa hh59 activated bodyworn camera tried ignore shouting . kept shouting abuse 'fuck ' & 'fuck mother ' . proceeded wag force exit csa radioed csm btp support . also used finger swear csa exit .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.805032
1,18,", black short shaved black hair , approx . 40 years age . wearing white printed t-shirt , dark trousers brown bag , forced wag paid side went platform . approximately 5 minutes later csa hh59 approached paid side glap b customer question . customer asked csa next westbound service service showing dot matrix . csa stated pay service would providing information unless paid ticket . moved away whilst csa provided customer next train information . started get angry ignored started act aggressively started shout ' fucking stupid ' . csa hh59 activated bodyworn camera tried ignore shouting . kept shouting abuse 'fuck ' & 'fuck mother ' . proceeded wag force exit csa radioed csm btp support . also used finger swear csa exit .","ic1 wearing black tracksuit hoodie , 17 years age sitting cou course floor . approached stated hes life , prison 9 months family members go . left station distressed around 30 minutes came back attempting push barriers . stopped ran . btp attended station",0.8006334
1,20,", black short shaved black hair , approx . 40 years age . wearing white printed t-shirt , dark trousers brown bag , forced wag paid side went platform . approximately 5 minutes later csa hh59 approached paid side glap b customer question . customer asked csa next westbound service service showing dot matrix . csa stated pay service would providing information unless paid ticket . moved away whilst csa provided customer next train information . started get angry ignored started act aggressively started shout ' fucking stupid ' . csa hh59 activated bodyworn camera tried ignore shouting . kept shouting abuse 'fuck ' & 'fuck mother ' . proceeded wag force exit csa radioed csm btp support . also used finger swear csa exit .","man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting weelchair . started racist , threatened kill , twice . captured bwv 256138 approx 23:05. approx 60 years old , wheelchair due disability .",0.803453
1,66,", black short shaved black hair , approx . 40 years age . wearing white printed t-shirt , dark trousers brown bag , forced wag paid side went platform . approximately 5 minutes later csa hh59 approached paid side glap b customer question . customer asked csa next westbound service service showing dot matrix . csa stated pay service would providing information unless paid ticket . moved away whilst csa provided customer next train information . started get angry ignored started act aggressively started shout ' fucking stupid ' . csa hh59 activated bodyworn camera tried ignore shouting . kept shouting abuse 'fuck ' & 'fuck mother ' . proceeded wag force exit csa radioed csm btp support . also used finger swear csa exit .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.80470824
2,10,"00:25 booking 2 x contractors lanes back window office . saw one contractors wave arms saying closed . aggressive man dressed black , black shirt black trousers talking microphone switched . turned microphone , said help . started really shouting saying want piss , piss . n't even time answer , proceeded shout , saying piss door . said talking , going aggressive turned microphone turned back . contractors said going wee door . turned back around contractors went outside said , mate go outside go toilet . man started aggressive telling move way , talking , wants talk , n't talking screaming . proceeded say remember face . cleaner came try calm started screaming 3 , saying interested talking , get way . man goes downstairs pressed php , said help even though could see camera , said go piss went answer shouted saying piss face . put php . proceeded press another php said hi help even though could still see camera . shouted whore always whore.then got t116 west ruislip","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.807686
2,66,"00:25 booking 2 x contractors lanes back window office . saw one contractors wave arms saying closed . aggressive man dressed black , black shirt black trousers talking microphone switched . turned microphone , said help . started really shouting saying want piss , piss . n't even time answer , proceeded shout , saying piss door . said talking , going aggressive turned microphone turned back . contractors said going wee door . turned back around contractors went outside said , mate go outside go toilet . man started aggressive telling move way , talking , wants talk , n't talking screaming . proceeded say remember face . cleaner came try calm started screaming 3 , saying interested talking , get way . man goes downstairs pressed php , said help even though could see camera , said go piss went answer shouted saying piss face . put php . proceeded press another php said hi help even though could still see camera . shouted whore always whore.then got t116 west ruislip","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.80612415
5,66,"whilst parked outside station awaiting engineering hours start group drunk people irish accents walked past , one circled back van behind tried access . occupiers ushered away approached van . colleague back van fetch tools inside drunk man tried poke head van , asked slurred reply . threatened spray n't get way let van , noticed hand ad said nivia side assumed deodorant ignored went get tools . 's heard spaying sound shoulder became wet smelly . turned confront ran . around ten minutes later started suffer severe migraines advised report attack authorities .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.82857716
6,18,0042 customer came gate line wanting go hammersmith . csa told train would take gone . said lost phone n't say lost . asked report police . csm came exchanged words customer trying help sudden barged gate started attacking csm kicked throwing punches csm . csm fell floor took csm 's glasses floor threw lay floor spat csm face . police called 00.47. lucc called 00.50 requesting ambulance . csa came back station missed staff taxi reported assailant attempted throw bin way . came back around 00.54 requesting name csm shouting racist remarks . wants name chinese ' c ' . said name sima kabius works fulham council . police arrived 00.59 arrested . camera 14 viewed . assault took place 00.44:27 lasted minute . crime ref 16/9/10/2023 . ambulance ref 2 .csm left nirm st.mary 's hospital staff taxi .at 03.18,"ic1 wearing black tracksuit hoodie , 17 years age sitting cou course floor . approached stated hes life , prison 9 months family members go . left station distressed around 30 minutes came back attempting push barriers . stopped ran . btp attended station",0.80935884
6,59,0042 customer came gate line wanting go hammersmith . csa told train would take gone . said lost phone n't say lost . asked report police . csm came exchanged words customer trying help sudden barged gate started attacking csm kicked throwing punches csm . csm fell floor took csm 's glasses floor threw lay floor spat csm face . police called 00.47. lucc called 00.50 requesting ambulance . csa came back station missed staff taxi reported assailant attempted throw bin way . came back around 00.54 requesting name csm shouting racist remarks . wants name chinese ' c ' . said name sima kabius works fulham council . police arrived 00.59 arrested . camera 14 viewed . assault took place 00.44:27 lasted minute . crime ref 16/9/10/2023 . ambulance ref 2 .csm left nirm st.mary 's hospital staff taxi .at 03.18,customer waited member staff go toilet came started getting aggressive demanding apology ignoring rude ticket . said nothing apologise replied well money oyster thank . felt alone intimidated worried safety station place,0.8131194
